datetime,open,high,low,close,volume
2019-11-27 07:30:00,146.0,146.0,146.0,146.0,0.01
2019-11-27 08:00:00,125.03,125.03,125.03,125.03,0.01
2019-11-27 08:30:00,145.0,145.01,133.0,133.0,0.07
2019-11-27 09:00:00,133.0,133.0,133.0,133.0,0.0
2019-11-27 09:30:00,133.0,133.0,133.0,133.0,0.0
2019-11-27 10:00:00,133.0,133.0,133.0,133.0,0.0
2019-11-27 10:30:00,142.2,144.52,142.1,142.62,2832.71
2019-11-27 11:00:00,142.7,144.41,142.22,144.28,4706.4
2019-11-27 11:30:00,144.24,146.92,143.87,146.58,4373.4
2019-11-27 12:00:00,146.53,149.34,145.73,148.22,3914.92
2019-11-27 12:30:00,148.22,148.54,146.94,147.38,3672.12
2019-11-27 13:00:00,147.38,148.24,147.26,148.14,4509.81
2019-11-27 13:30:00,148.15,148.51,147.54,148.26,4182.32
2019-11-27 14:00:00,148.35,149.14,146.8,147.38,4704.84
2019-11-27 14:30:00,147.37,147.66,146.9,147.65,4940.0
2019-11-27 15:00:00,147.61,148.71,147.32,148.69,4283.97
2019-11-27 15:30:00,148.67,151.64,148.56,150.65,4644.06
2019-11-27 16:00:00,150.72,151.29,148.33,149.71,5167.41
2019-11-27 16:30:00,149.67,153.58,149.52,152.6,4311.12
2019-11-27 17:00:00,152.94,154.93,152.06,153.35,4341.28
2019-11-27 17:30:00,153.58,154.12,152.26,153.63,4740.84
2019-11-27 18:00:00,153.66,155.5,153.22,153.61,3984.18
2019-11-27 18:30:00,153.6,153.87,152.84,153.03,3835.15
2019-11-27 19:00:00,153.01,154.58,152.84,153.97,4204.07
2019-11-27 19:30:00,153.96,154.92,153.49,153.87,4501.9
2019-11-27 20:00:00,153.84,155.12,153.8,154.59,4402.4
2019-11-27 20:30:00,154.6,155.66,152.91,153.23,4843.92
2019-11-27 21:00:00,153.13,153.56,152.7,153.12,4745.02
2019-11-27 21:30:00,153.12,153.71,152.03,153.44,3993.48
2019-11-27 22:00:00,153.29,154.29,153.0,153.66,3697.02
2019-11-27 22:30:00,153.69,154.15,152.63,152.63,3925.76
2019-11-27 23:00:00,152.61,153.4,152.48,153.12,4049.06
2019-11-27 23:30:00,153.11,153.5,152.3,152.52,4404.59
2019-11-28 00:00:00,152.52,152.52,152.52,152.52,0.0
2019-11-28 00:30:00,154.29,154.47,154.21,154.21,36.52
2019-11-28 01:00:00,154.23,154.23,147.25,149.86,1507.85
2019-11-28 01:30:00,149.86,150.66,146.41,146.62,699.15
2019-11-28 02:00:00,147.86,156.52,147.86,149.7,791.62
2019-11-28 02:30:00,155.0,155.0,147.9,150.62,675.65
2019-11-28 03:00:00,150.62,153.09,150.43,152.26,2274.38
2019-11-28 03:30:00,152.26,152.83,151.8,152.03,2459.04
2019-11-28 04:00:00,151.93,152.13,151.31,152.03,1882.95
2019-11-28 04:30:00,152.03,152.45,151.16,151.49,2436.37
2019-11-28 05:00:00,151.46,151.83,150.66,151.08,2571.23
2019-11-28 05:30:00,151.08,151.35,150.18,151.15,2894.34
2019-11-28 06:00:00,151.15,152.2,150.45,151.84,3266.81
2019-11-28 06:30:00,151.9,153.02,151.86,152.17,2385.78
2019-11-28 07:00:00,152.17,152.72,151.47,152.26,2968.4
2019-11-28 07:30:00,152.26,152.68,151.57,151.98,2920.84
2019-11-28 08:00:00,152.04,152.63,151.47,152.02,2927.407
2019-11-28 08:30:00,152.27,152.76,151.86,152.7,3173.308
2019-11-28 09:00:00,152.7,152.72,151.57,152.22,2737.686
2019-11-28 09:30:00,152.2,152.56,151.24,152.21,2496.514
2019-11-28 10:00:00,152.14,152.14,150.07,150.37,2952.63
