t,open,high,low,close,volume,trades
2024-09-02,57275.0,59359.0,57098.0,59112.0,6754.69181,60144
2024-09-03,59112.0,59800.0,57357.0,57435.0,6746.64675,59233
2024-09-04,57436.0,58550.0,55633.0,57980.0,9961.09479,79860
2024-09-05,57979.0,58354.0,55572.0,56159.0,9127.56308,66321
2024-09-06,56153.0,56970.0,52534.0,53952.0,14740.80821,95197
2024-09-07,53951.0,54832.0,53750.0,54160.0,3015.91973,40216
2024-09-08,54160.0,55258.0,53602.0,54839.0,4023.72152,36461
2024-09-09,54840.0,58077.0,54561.0,57016.0,10899.33969,79334
2024-09-10,57016.0,58039.0,56387.0,57617.0,7503.66532,61402
2024-09-11,57616.0,57973.0,55539.0,57278.0,9941.8535,76757
2024-09-12,57287.0,58557.0,57286.0,58131.0,8273.40603,60894
2024-09-13,58133.0,60629.0,57612.0,60491.0,8516.52033,61509
2024-09-14,60484.0,60592.0,59447.0,59986.0,2362.56946,29207
2024-09-15,59987.0,60357.0,58688.0,59128.0,3601.75878,35043
2024-09-16,59127.0,59200.0,57473.0,58220.0,8308.96912,60028
2024-09-17,58219.0,61319.0,57605.0,60283.0,9396.18537,73454
2024-09-18,60284.0,61875.0,59192.0,61839.0,10854.81967,75698
2024-09-19,61819.0,63913.0,61614.0,62990.0,9769.23704,96794
2024-09-20,62996.0,64199.0,62370.0,63210.0,7669.25542,69213
2024-09-21,63200.0,63580.0,62734.0,63347.0,1827.4051,23544
2024-09-22,63348.0,64000.0,62367.0,63596.0,5344.54818,42012
2024-09-23,63597.0,64820.0,62621.0,63366.0,7472.548,59793
2024-09-24,63366.0,64732.0,62729.0,64302.0,7618.05665,53343
2024-09-25,64318.0,64866.0,62991.0,63192.0,6701.84417,50746
2024-09-26,63192.0,65918.0,62686.0,65221.0,11006.82847,75518
2024-09-27,65221.0,66524.0,64869.0,65778.0,6597.77277,65826
2024-09-28,65777.0,66278.0,65405.0,65860.0,2166.58656,31013
2024-09-29,65860.0,66169.0,65450.0,65660.0,2710.09887,33746
2024-09-30,65660.0,65669.0,62893.0,63381.0,9049.7939,83870
2024-10-01,63381.0,64188.0,60100.0,60839.0,18901.46763,131539
2024-10-02,60830.0,62381.0,59962.0,60652.0,9248.64254,81291
2024-10-03,60652.0,61480.0,59837.0,60762.0,7576.34723,63048
2024-10-04,60761.0,62480.0,60465.0,62060.0,7548.02353,59900
2024-10-05,62060.0,62365.0,61661.0,62071.0,2131.28305,27119
2024-10-06,62071.0,62979.0,61826.0,62823.0,3260.73999,32718
2024-10-07,62823.0,64505.0,62136.0,62229.0,7979.67501,61944
2024-10-08,62228.0,63228.0,61871.0,62181.0,7301.98942,50210
2024-10-09,62180.0,62565.0,60282.0,60613.0,5827.79814,47145
2024-10-10,60613.0,61309.0,58919.0,60299.0,9901.59516,63566
2024-10-11,60300.0,63400.0,60056.0,62504.0,7296.77061,55836
2024-10-12,62510.0,63484.0,62460.0,63180.0,2333.85522,24683
2024-10-13,63180.0,63270.0,62015.0,62849.0,2810.25792,29824
2024-10-14,62848.0,66500.0,62441.0,66078.0,7818.00328,66959
2024-10-15,66078.0,67929.0,64785.0,67059.0,11958.15838,98281
2024-10-16,67059.0,68432.0,66740.0,67625.0,6820.10911,74008
2024-10-17,67625.0,67958.0,66670.0,67416.0,4639.10934,48895
2024-10-18,67415.0,69026.0,67200.0,68450.0,6478.3336,59269
2024-10-19,68457.0,68728.0,68011.0,68377.0,1592.9612,22743
2024-10-20,68386.0,69444.0,68111.0,69083.0,2643.52368,28316
2024-10-21,69083.0,69577.0,66868.0,67381.0,8688.14326,68546
2024-10-22,67381.0,67835.0,66571.0,67426.0,7901.2186,68811
2024-10-23,67427.0,67440.0,65277.0,66731.0,9431.10445,68884
2024-10-24,66731.0,68863.0,66563.0,68201.0,6274.13387,70498
2024-10-25,68201.0,68776.0,65586.0,66699.0,9845.58989,80767
2024-10-26,66699.0,67458.0,66425.0,67073.0,2571.40613,32521
2024-10-27,67074.0,68324.0,66914.0,68020.0,2130.69978,30975
2024-10-28,68020.0,70343.0,67611.0,69992.0,6370.93096,60917
2024-10-29,69992.0,73722.0,69791.0,72813.0,9390.71379,83760
2024-10-30,72812.0,72994.0,71472.0,72402.0,5139.37898,57417
2024-10-31,72402.0,72720.0,69740.0,70363.0,7024.23017,62585
2024-11-01,70364.0,71659.0,68817.0,69530.0,11724.55353,89677
2024-11-02,69528.0,69928.0,69031.0,69362.0,2226.1043,25670
2024-11-03,69362.0,69380.0,67475.0,68766.0,6296.02311,52190
2024-11-04,68769.0,69491.0,66878.0,67889.0,6457.31622,61659
2024-11-05,67889.0,70612.0,67523.0,69411.0,7830.90665,81205
2024-11-06,69410.0,76484.0,69308.0,75640.0,18746.49742,155604
2024-11-07,75640.0,76847.0,74465.0,75925.0,8337.64989,86720
2024-11-08,75924.0,77240.0,75632.0,76541.0,5725.86577,64890
2024-11-09,76542.0,77007.0,75750.0,76765.0,3524.20428,48619
2024-11-10,76766.0,81619.0,76555.0,80458.0,10486.01966,107526
2024-11-11,80447.0,89702.0,80284.0,88776.0,15914.58373,148434
2024-11-12,88775.0,90050.0,85185.0,88040.0,18090.85599,183064
2024-11-13,88040.0,93466.0,86183.0,90440.0,16854.26002,161488
2024-11-14,90439.0,91917.0,86635.0,87358.0,14033.61492,137338
2024-11-15,87360.0,91922.0,87085.0,91107.0,10240.15014,83650
2024-11-16,91098.0,91807.0,90121.0,90616.0,3485.24617,40895
2024-11-17,90657.0,91528.0,88800.0,89945.0,5097.40926,46509
2024-11-18,89944.0,92678.0,89428.0,90550.0,11274.76869,104057
2024-11-19,90549.0,94000.0,90437.0,92366.0,8833.4012,93166
2024-11-20,92369.0,94878.0,91569.0,94340.0,11168.22794,88398
2024-11-21,94339.0,99142.0,94071.0,98429.0,13321.51193,100798
2024-11-22,98419.0,99654.0,97222.0,98982.0,7789.82717,64821
2024-11-23,98988.0,98996.0,97211.0,97757.0,4049.30697,41581
2024-11-24,97756.0,98656.0,95847.0,98038.0,5652.39753,60389
2024-11-25,98043.0,99022.0,92620.0,93100.0,13673.22935,94278
2024-11-26,93101.0,95046.0,90878.0,92028.0,10734.74386,90206
2024-11-27,92027.0,97290.0,91858.0,95931.0,6877.55411,59744
2024-11-28,95921.0,96643.0,94640.0,95722.0,4356.82846,38521
2024-11-29,95722.0,98733.0,95436.0,97533.0,6391.75352,50025
2024-11-30,97532.0,97533.0,96138.0,96484.0,4820.92924,33133
2024-12-01,96484.0,97933.0,95740.0,97274.0,5292.30091,42319
2024-12-02,97274.0,98267.0,94408.0,95921.0,12382.54594,92084
