strategy,family,symbol,timeframe,n_signals,n_long,n_short,depth_min,depth_max,reclaim_bars,killzones,return_pct,win_rate,acc_range,judas_window,ms_lookback
sfp_institutional,ictsuite,BTC,1h,7,5,2,0.0005,0.005,1.0,True,-11.185580548298145,22.857142857142858,,,
sfp_institutional,ictsuite,BTC,4h,8,6,2,0.0005,0.005,1.0,True,3.45120075507592,20.0,,,
sfp_institutional,ictsuite,ETH,1h,10,5,5,0.0005,0.005,1.0,True,-2.268516852699997,8.0,,,
sfp_institutional,ictsuite,ETH,4h,5,1,4,0.0005,0.005,1.0,True,-3.1688816964679902,16.0,,,
sfp_institutional,ictsuite,BTC,1h,19,12,7,0.0005,0.005,1.0,False,-41.83366326077047,13.68421052631579,,,
sfp_institutional,ictsuite,BTC,4h,17,13,4,0.0005,0.005,1.0,False,-23.285743869038967,10.0,,,
sfp_institutional,ictsuite,ETH,1h,35,17,18,0.0005,0.005,1.0,False,-4.251579185427968,17.541125541125542,,,
sfp_institutional,ictsuite,ETH,4h,9,2,7,0.0005,0.005,1.0,False,-5.056795527607995,8.88888888888889,,,
sfp_institutional,ictsuite,BTC,1h,10,5,5,0.0005,0.005,2.0,True,-25.588577271778632,16.0,,,
sfp_institutional,ictsuite,BTC,4h,8,6,2,0.0005,0.005,2.0,True,3.45120075507592,20.0,,,
sfp_institutional,ictsuite,ETH,1h,11,5,6,0.0005,0.005,2.0,True,-2.3522729055199987,7.272727272727273,,,
sfp_institutional,ictsuite,ETH,4h,5,1,4,0.0005,0.005,2.0,True,-3.1688816964679902,16.0,,,
sfp_institutional,ictsuite,BTC,1h,29,15,14,0.0005,0.005,2.0,False,-73.19767183302578,9.261083743842365,,,
sfp_institutional,ictsuite,BTC,4h,17,13,4,0.0005,0.005,2.0,False,-23.285743869038967,10.0,,,
sfp_institutional,ictsuite,ETH,1h,41,18,23,0.0005,0.005,2.0,False,-4.358724371527968,19.94736842105263,,,
sfp_institutional,ictsuite,ETH,4h,9,2,7,0.0005,0.005,2.0,False,-5.056795527607995,8.88888888888889,,,
sfp_institutional,ictsuite,BTC,1h,11,5,6,0.0005,0.005,3.0,True,-28.350850202520622,14.545454545454547,,,
