family,strategy,symbol,timeframe,error,n_signals,n_long,n_short,total_return_pct,winrate_pct,leg_a_return_pct,leg_b_return_pct,leg_a_winrate_pct,leg_b_winrate_pct
fib_retrace,default,BTC,1h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,2h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,4h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,1d,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,1h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,2h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,4h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,1d,local variable '_trail' referenced before assignment,,,,,,,,,
demon2,mmxm,BTC,1h,,90.0,50.0,40.0,-110.9756344891747,,-113.70607676079997,-100.05386540267358,,0.0
demon2,mmxm,BTC,2h,,56.0,21.0,35.0,251.57375923832694,,340.154946051,-102.75098801236533,,0.0
demon2,mmxm,BTC,4h,,33.0,15.0,18.0,333.0374565713599,,354.1529874431999,248.57533308399994,,0.0
demon2,mmxm,BTC,1d,,6.0,2.0,4.0,283.41605582700004,,283.41605582700004,283.4160558270001,,
demon2,mmxm,ETH,1h,,86.0,41.0,45.0,-4.7468918243159965,,-4.70555638802,-4.912233569499982,,0.0
demon2,mmxm,ETH,2h,,67.0,27.0,40.0,19.729396108963996,,21.518825136620002,12.571679998339985,,0.0
demon2,mmxm,ETH,4h,,38.0,17.0,21.0,17.193498175268,,22.168240253619995,-2.7054701381399813,,0.0
demon2,mmxm,ETH,1d,,6.0,2.0,4.0,11.449893522580002,,11.449893522580004,11.449893522580002,,
demon2,po3,BTC,1h,,433.0,220.0,213.0,-100.757033176081,36.28099173553719,-100.00695840285252,-103.75733226899489,39.66942148760331,22.727272727272727
demon2,po3,BTC,2h,,394.0,192.0,202.0,-102.05055131730359,34.20168067226891,-102.33880023562061,-100.89755564403549,37.5,21.008403361344538
demon2,po3,BTC,4h,,191.0,101.0,90.0,-107.66255394057588,38.7169401871694,-109.07564100671918,-102.01020567600261,42.57425742574257,23.28767123287671
demon2,po3,BTC,1d,,25.0,10.0,15.0,-113.88570261009585,3.076923076923076,-115.62442140321212,-106.93082743763074,0.0,15.384615384615385
demon2,po3,ETH,1h,,447.0,224.0,223.0,-8.528204827787702,35.769210636515915,-8.8185812041797,-7.366699322219709,39.698492462311556,20.052083333333336
demon2,po3,ETH,2h,,400.0,202.0,198.0,-13.391153085691574,34.497078564875174,-13.740672919159557,-11.993073751819642,38.13559322033898,19.943019943019944
demon2,po3,ETH,4h,,196.0,106.0,90.0,-19.570617924967873,28.141195674352176,-20.077441996759873,-17.543321637799878,31.03448275862069,16.56804733727811
demon2,po3,ETH,1d,,32.0,14.0,18.0,6.490556572564012,43.323076923076925,6.71740339844001,5.58316926906002,46.15384615384615,32.0
demon2,po3_fractal,BTC,1h,,1.0,0.0,1.0,-16.89985745519998,0.0,-20.425971855199986,-2.795399855199958,0.0,0.0
demon2,po3_fractal,BTC,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
demon2,po3_fractal,BTC,4h,,1.0,1.0,0.0,2.402473990585552,80.0,3.095960802254626,-0.3714732560907465,100.0,0.0
demon2,po3_fractal,BTC,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
demon2,po3_fractal,ETH,1h,,1.0,1.0,0.0,-0.19244824510000286,0.0,-0.22342964510000343,-0.06852264510000056,0.0,0.0
demon2,po3_fractal,ETH,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
demon2,po3_fractal,ETH,4h,,1.0,1.0,0.0,-0.38400732549999705,0.0,-0.4269815254999969,-0.21211052549999754,0.0,0.0
demon2,po3_fractal,ETH,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
demon2,power_flow,BTC,1h,,4159.0,1680.0,2479.0,-110.33376853688685,22.30263157894737,-111.34705653646444,-106.28061653857648,26.31578947368421,6.25
demon2,power_flow,BTC,2h,,3496.0,1536.0,1960.0,-109.77648860011766,28.199617521172932,-111.24587051243702,-103.89896095084022,32.91139240506329,9.352517985611511
demon2,power_flow,BTC,4h,,1748.0,768.0,980.0,-15.504165443710704,25.10928961748634,-110.97535619371253,366.3805975562967,27.083333333333332,17.21311475409836
