family,strategy,verdict,mean_return_pct,prof_cells,total_cells,total_signals
fib_retrace,default,NO_DATA,0.0,0,0,0
demon2,mmxm,PROFITABLE,100.08,6,8,382
demon2,po3,UNPROFITABLE,-57.42,1,8,2118
demon2,po3_fractal,UNPROFITABLE,-1.88,1,8,4
demon2,power_flow,UNPROFITABLE,-46.99,0,8,18079
fvg_mtf,ifvg,PROFITABLE,79.81,7,8,560
fvg_mtf,fvg,UNPROFITABLE,-16.81,3,8,2122
ictsuite,scalp_sweep,UNPROFITABLE,0.0,0,8,0
ictsuite,intraday_quantum,UNPROFITABLE,0.0,0,8,0
ictsuite,macro_swing,UNPROFITABLE,0.0,0,8,0
ictsuite,sfp,UNPROFITABLE,-58.32,0,8,5586
ictsuite,sfp_institutional,UNPROFITABLE,-1.34,2,8,32
